a,b,theta,A1,A2,phi1,Rt,Rp,cx,cy,cz,status
7.8,6,27.5,2,-6,0,-0.2,-0.2,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.2,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.2,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.2,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.2,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.1,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0,0.8,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0.1,0.8,2.4,11.6,InProgress
