a,b,theta,A1,A2,phi1,cx,cy,cz,status
7.8,6.2,28.5,2,-7,39,-1.4,2.4,11.7,NotYet
7.8,6.2,28.5,2,-7,39,2.5,-0.8,11.7,NotYet
