a,b,theta,A1,A2,phi1,cx,cy,cz,status
7.8,6,27,1,-6,0,0,2.5,11.6,NotYet
7.8,6,27,0,-6,0,0,2.5,11.6,NotYet
7.8,5.9,27,1,-6,0,0,2.5,11.6,NotYet
7.8,5.9,27,0,-6,0,0,2.5,11.6,NotYet
7.8,6.1,27,1,-6,0,0,2.5,11.6,NotYet
7.8,6.1,27,0,-6,0,0,2.5,11.6,NotYet
