cx,cy,cz,a,b,theta,A1,A2,phi1,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-0.9,2.3,11.6,7.8,6,27,2,-6,0,-9.972006138,-0.567639271,-1.759412538,-0.05274849,-1.673700947,-0.080666411,-0.841879966,-0.197069515,-1.654781521,-0.504285861,-0.14184236,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.3_cz=11.6.log
0.9,2.3,11.6,7.8,6,27,2,-6,0,-9.971999863,-1.759412538,-0.567632996,-0.080666411,-0.841879966,-0.05274849,-1.673700947,-0.14184236,-0.504285861,-1.654781521,-0.197069515,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.3_cz=11.6.log
0,2.4,11.7,7.8,6,27,2,-6,0,-9.955609302,-1.338623157,-1.338616882,-0.063635789,-1.397000412,-0.063629514,-1.397000412,-0.154097631,-0.935178153,-0.935178153,-0.154097631,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.4_cz=11.7.log
-0.1,2.4,11.7,7.8,6,27,2,-6,0,-9.955082194,-1.276091786,-1.399623404,-0.06209839,-1.45801321,-0.065122988,-1.330540829,-0.156563745,-1.003746171,-0.869879462,-0.151606416,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.4_cz=11.7.log
0.1,2.4,11.7,7.8,6,27,2,-6,0,-9.955063368,-1.399610854,-1.276091786,-0.065122988,-1.330534553,-0.06209839,-1.45801321,-0.151606416,-0.869879462,-1.003746171,-0.156563745,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.4_cz=11.7.log
1,2.4,11.6,7.8,6,27,2,-6,0,-9.95261608,-1.780120368,-0.685975107,-0.078313248,-0.626098102,-0.048889304,-1.702560132,-0.133860433,-0.467557701,-1.725803102,-0.188108673,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.0_cy=2.4_cz=11.6.log
-1,2.4,11.6,7.8,6,27,2,-6,0,-9.95261608,-0.685975107,-1.780120368,-0.048889304,-1.702560132,-0.078313248,-0.626098102,-0.188108673,-1.725803102,-0.467557701,-0.133860433,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.0_cy=2.4_cz=11.6.log
0,2.3,11.5,7.8,6,27,2,-6,0,-9.945989575,-0.981921373,-0.981915098,-0.072540156,-1.436157037,-0.072540156,-1.436157037,-0.18040285,-1.06078683,-1.06078683,-0.18040285,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.3_cz=11.5.log
-0.1,2.3,11.5,7.8,6,27,2,-6,0,-9.945274213,-0.865060186,-1.099560673,-0.070870979,-1.519590766,-0.074159132,-1.345036309,-0.183935731,-1.137148521,-0.987537587,-0.176876244,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.3_cz=11.5.log
0.1,2.3,11.5,7.8,6,27,2,-6,0,-9.945274213,-1.099560673,-0.865060186,-0.074159132,-1.345036309,-0.070870979,-1.519590766,-0.176876244,-0.987537587,-1.137148521,-0.183935731,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.3_cz=11.5.log
