a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.8,8.7,65,-6,33,-50.1735008,-8.08988402,-8.498433191,1,Done,tetracene_A1=-6_A2=33_a=5.8_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.8,64,-2,33,-54.58603566,-7.961277101,-9.665870365,2,Done,tetracene_A1=-2_A2=33_a=5.8_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.8,64,-3,33,-54.01124905,-8.011398835,-9.497112846,2,Done,tetracene_A1=-3_A2=33_a=5.8_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.8,64,-1,33,-54.7549463,-7.875391062,-9.751041043,2,Done,tetracene_A1=-1_A2=33_a=5.8_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.7,65,-4,33,-53.45503925,-8.021779105,-9.35287026,1,Done,tetracene_A1=-4_A2=33_a=5.8_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.7,65,-5,33,-52.08458,-8.071892054,-8.985198973,1,Done,tetracene_A1=-5_A2=33_a=5.8_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.8,64.5,-2,33,-54.66093777,-7.899373239,-9.715547822,2,Done,tetracene_A1=-2_A2=33_a=5.8_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.8,64.5,-3,33,-54.22946942,-7.98789482,-9.563419945,2,Done,tetracene_A1=-3_A2=33_a=5.8_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.8,64.5,-1,33,-54.69151758,-7.768367977,-9.788695408,2,Done,tetracene_A1=-1_A2=33_a=5.8_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.8,64,-6,33,-49.54450737,-7.996879508,-8.387687089,1,Done,tetracene_A1=-6_A2=33_a=5.8_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.8,64,-4,33,-53.00355333,-8.030524085,-9.235626291,1,Done,tetracene_A1=-4_A2=33_a=5.8_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.8,64,-5,33,-51.52907803,-8.023989195,-8.870274909,1,Done,tetracene_A1=-5_A2=33_a=5.8_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.8,65,-2,33,-54.61937652,-7.79897666,-9.755355801,2,Done,tetracene_A1=-2_A2=33_a=5.8_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.8,65,-3,33,-54.34424351,-7.932842113,-9.619639821,2,Done,tetracene_A1=-3_A2=33_a=5.8_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.8,65,-1,33,-54.4975944,-7.615634553,-9.816581325,2,Done,tetracene_A1=-1_A2=33_a=5.8_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.8,64.5,-6,33,-50.23834267,-8.05123317,-8.533969082,1,Done,tetracene_A1=-6_A2=33_a=5.8_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.8,64.5,-4,33,-53.37100813,-8.038793411,-9.323355327,1,Done,tetracene_A1=-4_A2=33_a=5.8_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.8,64.5,-5,33,-52.05358352,-8.057902346,-8.984444706,1,Done,tetracene_A1=-5_A2=33_a=5.8_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.6,64,-2,33,-54.4076421,-7.769998248,-9.716911401,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.6,64,-3,33,-53.55550109,-7.755309494,-9.511220526,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.6,64,-1,33,-54.82735593,-7.762535899,-9.825571033,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.8,65,-6,33,-50.85363881,-8.08988402,-8.668467693,1,Done,tetracene_A1=-6_A2=33_a=5.8_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.8,65,-4,33,-53.64607839,-8.021779105,-9.400630046,1,Done,tetracene_A1=-4_A2=33_a=5.8_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.8,65,-5,33,-52.49426371,-8.071892054,-9.0876199,1,Done,tetracene_A1=-5_A2=33_a=5.8_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.6,64.5,-2,33,-54.71741869,-7.775737454,-9.791485945,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.6,64.5,-3,33,-53.98348801,-7.786076309,-9.602833848,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.6,64.5,-1,33,-55.02885943,-7.737952567,-9.888238574,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.6,64,-6,33,-48.03764251,-7.615905637,-8.201457808,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.6,65,-2,33,-54.93350301,-7.755531632,-9.855609937,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.6,65,-3,33,-54.32798096,-7.796125254,-9.683932613,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.6,64,-4,33,-52.23922356,-7.722376514,-9.198617634,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.6,64,-5,33,-50.41886726,-7.674858947,-8.76728734,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.6,65,-1,33,-55.12454466,-7.681487962,-9.940392185,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.6,64.5,-6,33,-48.90374938,-7.696036154,-8.377919268,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.7,64,-2,33,-54.56872894,-7.769998248,-9.757183111,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.7,64,-3,33,-53.85256432,-7.755309494,-9.585486334,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.7,64,-1,33,-54.89641717,-7.762535899,-9.842836343,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.6,64.5,-4,33,-52.79719291,-7.773339111,-9.312628671,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.6,64.5,-5,33,-51.12124924,-7.742042677,-8.909290971,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.7,64.5,-2,33,-54.78594027,-7.775737454,-9.80861634,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.7,64.5,-3,33,-54.1848886,-7.786076309,-9.653183996,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.6,65,-6,33,-49.7014928,-7.765926963,-8.542409719,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.7,64.5,-1,33,-55.00669076,-7.737952567,-9.882696406,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.6,65,-4,33,-53.27946446,-7.807970133,-9.415881049,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.6,65,-5,33,-51.75287068,-7.796275857,-9.040079743,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.7,65,-2,33,-54.91300602,-7.755531632,-9.85048569,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.7,65,-3,33,-54.43689411,-7.796125254,-9.7111609,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.7,65,-1,33,-55.015127,-7.681487962,-9.913037769,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.7,64,-6,33,-49.04417608,-7.615905637,-8.453091201,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.7,64,-4,33,-52.71985857,-7.722376514,-9.318776387,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.7,64,-5,33,-51.13327986,-7.674858947,-8.945890492,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.8,64,-2,33,-54.47363858,-7.769998248,-9.733410522,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.8,64,-3,33,-53.88513711,-7.755309494,-9.593629532,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.8,64,-1,33,-54.71341015,-7.762535899,-9.797084589,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.7,64.5,-6,33,-49.79155053,-7.696036154,-8.599869555,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.7,64.5,-4,33,-53.17702471,-7.773339111,-9.407586622,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.8,64.5,-2,33,-54.60977562,-7.775737454,-9.764575178,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.7,64.5,-5,33,-51.72746155,-7.742042677,-9.060844049,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.8,64.5,-3,33,-54.13279272,-7.786076309,-9.640160026,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.8,64.5,-1,33,-54.74475051,-7.737952567,-9.817211345,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.7,65,-6,33,-50.47357985,-7.765926335,-8.735431795,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.8,65,-2,33,-54.65929118,-7.755531632,-9.787056979,2,Done,tetracene_A1=-2_A2=33_a=5.9_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.8,65,-3,33,-54.30330225,-7.796125254,-9.677762935,2,Done,tetracene_A1=-3_A2=33_a=5.9_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.8,65,-1,33,-54.67833987,-7.681487962,-9.828840987,2,Done,tetracene_A1=-1_A2=33_a=5.9_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.7,65,-4,33,-53.56144737,-7.807970133,-9.486376777,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.7,65,-5,33,-52.25374164,-7.796275857,-9.165297481,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
