a,b,theta,A1,A2
8.2,5.9,28.5,-2,-6
8.1,5.9,28.5,0,-6
8,5.9,28.5,2,-6
8.1,5.9,28.5,4,-6
8.4,5.9,28.5,6,-6
8,6,28.5,0,-2
8,6,28.5,0,-4
8,6,28.5,0,-8
8,6,28.5,0,-10
