a,b,theta,A1,A2
5.9,5.9,61.5,2,-2
5.9,5.9,61.5,2,-3
5.9,5.9,61.5,2,-4
5.9,5.9,61.5,2,-5
5.9,5.9,61.5,2,-6
5.9,5.9,61.5,3,-2
5.9,5.9,61.5,3,-3
5.9,5.9,61.5,3,-4
5.9,5.9,61.5,3,-5
5.9,5.9,61.5,3,-6
5.9,5.9,61.5,4,-2
5.9,5.9,61.5,4,-3
5.9,5.9,61.5,4,-4
5.9,5.9,61.5,4,-5
5.9,5.9,61.5,4,-6
5.9,5.9,61.5,5,-2
5.9,5.9,61.5,5,-3
5.9,5.9,61.5,5,-4
5.9,5.9,61.5,5,-5
5.9,5.9,61.5,5,-6
5.9,5.9,61.5,6,-2
5.9,5.9,61.5,6,-3
5.9,5.9,61.5,6,-4
5.9,5.9,61.5,6,-5
5.9,5.9,61.5,6,-6
