a,b,theta,A1,A2,phi1,Rt,Rp,cx,cy,cz,status
7.8,6,27.5,2,-6,0,-0.2,-0.2,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.2,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.2,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.2,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.2,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,-0.2,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,-0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,0,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,0.1,0.7,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.2,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.2,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.2,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.2,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.2,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,-0.2,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,-0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,0,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,0.1,0.6,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.2,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.2,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.2,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,-0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0,0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.2,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,-0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.1,0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.2,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,-0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.2,0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,-0.2,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,-0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,0,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,0.3,0.1,0.5,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.2,0.4,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,-0.1,0.4,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0,0.4,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.2,0.1,0.4,2.4,11.6,InProgress
7.8,6,27.5,2,-6,0,-0.1,-0.2,0.4,2.4,11.6,InProgress
